Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
total care restoration,1,1,140,41,6.96,https://totalcarerestoration.com/,3,0.28,20.00,0.11,127000000,"[80,52,80,42,52,66,80,80,80,80,100,80]",2025-12-21,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
tarping services near me,1,1,210,26,13.20,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,3,0.28,39.00,0.96,15500000,"[6,5,3,11,15,35,44,44,66,100,100,54]",2025-12-01,"Knowledge panel, Sitelinks, Ads bottom, People also ask, Related searches, Ads middle, AI overview",transactional,People also ask
remove smoke and soot damage,1,1,110,30,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,3,0.28,0.00,0,2420000,"[64,100,78,64,78,78,100,100,50]",2025-12-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
what does mold on drywall look like,1,1,170,13,0.55,https://totalcarerestoration.com/tell-mold-behind-walls/,3,0.28,1.00,0.02,13700000,"[81,53,43,43,34,53,53,53,65,65,100,43]",2025-12-02,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
cast iron pipes and fittings,4,4,320,12,0.68,https://totalcarerestoration.com/cast-iron-pipes/,3,0.28,2.00,1,8610000,"[44,100,54,66,54,81,28,44,23,28,54,35]",2025-10-02,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, Things to know, Explore brands","commercial, informational",Things to know
mildew on sheetrock,1,1,170,17,1.65,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,3.00,0.28,10,"[100,80,80,65,34,42,42,53,80,100,100,53]",2025-11-25,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
restoration miami,4,4,70,22,8.09,https://totalcarerestoration.com/,2,0.19,16.00,0.05,19000000,"[50,50,28,50,78,35,50,64,35,50,64,50]",2025-09-07,"Local pack, Image pack, Related searches",commercial,Organic
what does mold on sheetrock look like,4,4,110,23,0.55,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,1.00,0.02,3130000,"[34,34,42,34,26,26,34,100,26,80,80,26]",2025-11-23,"Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
shrink wrap service,2,2,170,7,3.70,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,2,0.19,7.00,0.15,19900000,"[34,53,53,43,34,28,81,65,53,53,81,81]",2025-11-15,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,People also ask
emergency roofing miami,21,21,1600,6,0.00,https://totalcarerestoration.com/emergency-roof-tarping/,2,0.19,0.00,0.37,8790000,"[100,66,0,0,0,0,0,0,0,0,0,1]",2025-10-10,"Local pack, Video, Related searches",commercial,Organic
mould behind drywall,2,2,170,9,5.53,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,11.00,0.28,10,"[81,34,53,28,53,21,28,53,100,43,34,43]",2025-11-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Things to know
mould behind drywall,2,2,170,9,5.53,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,11.00,0.28,10,"[81,34,53,28,53,21,28,53,100,43,34,43]",2025-11-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,People also ask
shrink wrapping roofs,4,4,70,2,5.89,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,2,0.19,11.00,0.76,421000,"[63,81,45,81,100,100,27,100,18,18,36,36]",2025-09-03,"Local pack, Image pack, Video, Related searches, AI overview",informational,Organic
mold in drywall,1,1,590,20,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,12.00,0.27,14200000,"[100,13,16,79,10,24,8,10,36,10,13,8]",2025-12-04,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,AI overview
mold in drywall,13,13,590,20,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,12.00,0.27,14200000,"[100,13,16,79,10,24,8,10,36,10,13,8]",2025-12-04,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
mold growth signs of water damage in walls,1,1,70,23,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,0.00,0,5440000,"[53,42,34,34,19,26,19,19,15,19,34,42]",2025-09-08,"Sitelinks, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
shrink wrap for roofs,3,3,110,0,6.59,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,2,0.19,13.00,0.8,297000,"[80,52,42,52,52,52,42,33,66,42,33,42]",2025-12-03,"Image pack, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
cast iron pipe replacement cost,1,1,170,3,8.51,https://totalcarerestoration.com/cast-iron-pipes/,2,0.19,17.00,0.35,15500000,"[81,81,53,53,28,81,81,43,21,34,15,28]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how to check walls for mold,1,1,110,26,1.47,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,2.00,0.72,33300000,"[53,100,34,26,19,53,34,42,53,53,42,53]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
mold remediation broward county,6,6,110,6,30.14,https://totalcarerestoration.com/broward-county-restoration-services/,2,0.19,60.00,0.79,33700,"[26,19,19,19,19,26,15,19,11,100,100,100]",2025-11-29,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
soot cleaning companies,1,1,390,20,22.29,https://totalcarerestoration.com/top-5-soot-cleaning-services/,2,0.19,44.00,0.48,4830000,"[29,15,4,3,3,5,23,29,81,100,100,100]",2025-09-05,"Local pack, Image pack, Related searches, AI overview",informational,AI overview
home inspection fire damage,2,2,90,17,0.00,https://totalcarerestoration.com/fire-damage-inspection-steps/,2,0.19,0.00,0,38200000,"[11,11,11,11,29,52,52,64,82,100,100,64]",2025-12-22,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
mold remediation weston,3,3,50,2,0.00,https://totalcarerestoration.com/weston-restoration-services/,2,0.19,0.00,0.71,107000,"[5,5,5,5,28,28,5,5,23,28,28,17]",2025-12-07,"Local pack, Sitelinks, Ads bottom, Related searches",commercial,Organic
water damage sunrise fl,1,1,40,6,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,2,0.19,0.00,0.16,4690000,"[18,18,18,100,100,18,18,18,18,18,18,18]",2025-09-04,"Local pack, Image pack, Video, Image",commercial,Organic
mold inside walls,1,1,260,32,6.44,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.19,12.00,0.33,43800000,"[54,54,43,43,43,35,54,66,43,100,29,35]",2025-09-11,"Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,People also ask
replacing cast iron plumbing cost,1,1,40,4,24.46,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,24.00,0.58,2930000,"[18,18,18,27,18,18,100,63,100,36,18,18]",2025-09-05,"Sitelinks, Video, People also ask, Related searches, Discussions and forums","commercial, informational",People also ask
commercial ozone generator,1,1,480,25,1.74,https://totalcarerestoration.com/ozone-air-treatment-for-mold-and-pathogens/,1,0.09,1.00,1,4790000,"[66,81,66,66,66,100,54,66,54,66,66,66]",2025-10-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
cast iron plumbing repair,2,2,260,9,11.30,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,11.00,0.5,11900000,"[53,82,53,23,100,66,66,43,28,28,100,100]",2025-10-07,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
mold inspections miami fl,15,15,880,44,25.72,https://totalcarerestoration.com/services/mold-remediation/,1,0.09,25.00,0.5,185000,"[24,11,4,3,7,4,100,55,55,44,30,2]",2025-09-29,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
mold remediation pembroke pines fl,10,10,70,3,0.00,https://totalcarerestoration.com/pembroke-pines-restoration-services/,1,0.09,0.00,0.34,229000,"[11,7,7,42,100,42,15,11,15,15,15,15]",2025-12-21,"Knowledge panel, Video, Image, Related searches, AI overview",commercial,Organic
cast iron plumbing,17,17,1000,4,13.78,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,13.00,0.22,17800000,"[55,55,62,62,62,62,62,62,55,100,100,81]",2025-12-10,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
apartment storm restoration,1,1,70,5,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,1,0.09,0.00,0.01,5890000,"[21,14,28,14,21,21,50,78,100,78,100,50]",2025-09-09,"Local pack, Image pack, People also ask, Related searches, AI overview",informational,People also ask
water damage restoration doral,5,5,50,11,0.00,https://totalcarerestoration.com/total-care-restoration-doral-fl/,1,0.09,0.00,0,205000,"[5,7,7,3,2,4,2,2,2,10,12,4]",2025-11-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
mold removal pembroke pines fl,6,6,70,3,30.67,https://totalcarerestoration.com/pembroke-pines-restoration-services/,1,0.09,30.00,0.43,301000,"[42,19,15,7,7,7,42,100,42,15,11,15]",2025-09-04,"Local pack, Video, Image, Related searches, Discussions and forums",commercial,Organic
how to find mould in house,1,1,30,53,1.26,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.09,1.00,0.61,59200000,"[54,29,0,0,0,0,0,0,0,0,0,0]",2025-09-12,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
fire damage inspection,15,15,880,30,8.01,https://totalcarerestoration.com/fire-damage-inspection-steps/,1,0.09,8.00,0.22,50300000,"[1,1,1,20,31,52,52,68,84,84,100,52]",2025-12-19,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
cast iron replacement,1,1,50,9,12.38,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,12.00,0.76,10,"[7,11,11,11,65,7,11,11,7,19,42,53]",2025-11-08,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
cast iron drain pipe replacement cost,1,1,90,0,7.74,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,7.00,0.43,6500000,"[29,29,18,35,10,10,22,8,4,18,10,22]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",People also ask
mold remediation boca raton,11,11,210,13,28.73,https://totalcarerestoration.com/boca-raton-restoration-services/,1,0.09,28.00,0.68,197000,"[53,35,53,35,43,66,82,82,100,53,53,43]",2025-09-05,"Local pack, Video, Related searches",commercial,Organic
early mold wall,1,1,140,22,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.09,0.00,0.02,21300000,"[17,17,12,23,17,23,23,28,82,35,66,100]",2025-09-10,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
miami underwater by 2025,5,5,70,23,0.00,https://totalcarerestoration.com/the-2025-miami-flood-we-thought-about/,1,0.09,0.00,0,10,"[17,23,12,17,17,17,17,12,12,12,12,5]",2025-11-14,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how to cut cast iron sewer pipe,1,1,110,28,4.39,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,4.00,0.1,2670000,"[66,42,42,52,66,52,42,33,52,42,42,42]",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how do you test for mold in walls,1,1,110,50,1.36,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.09,1.00,0.65,23600000,"[64,64,35,78,64,100,100,78,100,100,78,50]",2025-11-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
soot removal service,10,10,390,24,26.02,https://totalcarerestoration.com/top-5-soot-cleaning-services/,1,0.09,26.00,0.11,4620000,"[0,2,1,19,36,54,67,81,81,100,81,44]",2025-11-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
cast iron drain replacement,3,3,70,6,6.59,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,6.00,0.29,15100000,"[11,11,41,41,41,41,52,41,41,41,41,41]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
roof tarp installers,3,3,50,10,6.81,https://totalcarerestoration.com/services/roof-tarping/,1,0.09,6.00,0.15,3760000,"[14,14,21,14,78,14,14,21,50,64,64,64]",2025-09-07,"Local pack, Image pack, Video, People also ask, Related searches",commercial,Organic
how to know if there is mold behind drywall,1,1,30,12,1.32,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.09,1.00,0.34,13800000,"[9,9,52,9,9,9,9,9,9,9,9,9]",2025-12-13,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
mold around baseboards,1,1,90,21,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.09,0.00,0,68,"[7,7,7,42,42,42,42,42,42,26,53,65]",2025-09-10,"Image pack, Video, People also ask, Related searches, Things to know, AI overview",informational,People also ask
water remediation process,2,2,590,29,13.23,https://totalcarerestoration.com/water-damage-dry-out-process/,1,0.09,13.00,0.63,36200000,"[44,29,67,15,54,67,100,67,67,36,100,100]",2025-10-09,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, Ads middle, AI overview",informational,Things to know
cast iron piping,12,12,260,21,2.79,https://totalcarerestoration.com/cast-iron-pipes/,1,0.09,2.00,0.44,85800000,"[6,10,6,10,13,13,13,45,20,24,30,20]",2025-09-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
best cleaner for smoke damage,1,1,30,2,3.90,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,1,0.09,3.00,0.48,7,"[9,19,9,14,33,23,23,14,19,9,19,9]",2025-11-19,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,AI overview
